patient_id,total_logins_30_days,avg_session_duration_minutes,reminder_response_rate,medicine_searches,chat_interactions,reminder_snooze_rate
P00348,25,12.2,0.91,9,15,0.36
P00349,32,12.5,0.39,3,4,0.19
P00350,33,13.0,0.42,0,15,0.3
P00351,38,5.6,0.57,7,1,0.32
P00352,19,11.8,0.38,1,14,0.25
P00353,88,4.5,0.9,10,11,0.35
P00354,74,3.9,0.89,9,11,0.36
P00355,38,13.4,0.64,10,0,0.37
P00356,32,10.6,0.9,7,12,0.06
P00357,90,13.8,0.95,9,13,0.17
P00358,16,5.5,0.59,1,6,0.14
P00359,12,4.7,0.56,2,11,0.07
P00360,56,12.6,0.85,10,6,0.05
P00361,30,4.8,0.49,8,0,0.39
P00362,36,6.9,0.66,3,4,0.13
P00363,24,10.7,0.44,3,14,0.28
P00364,38,3.5,0.66,8,6,0.38
P00365,10,14.2,0.58,6,7,0.21
P00366,37,3.4,0.93,4,8,0.34
P00367,26,13.8,0.98,5,11,0.06
P00368,19,14.6,0.58,2,0,0.36
P00369,80,13.1,0.9,2,0,0.31
P00370,72,10.2,0.88,7,4,0.1
P00371,10,3.7,0.61,7,0,0.28
P00372,35,4.1,0.48,5,14,0.06
P00373,25,3.6,0.41,4,6,0.35
P00374,20,12.6,0.66,9,15,0.23
P00375,21,4.1,0.4,4,8,0.21
P00376,36,8.4,0.32,4,12,0.06
P00377,61,5.7,0.9,6,5,0.25
P00378,22,11.3,0.92,3,7,0.37
P00379,24,2.5,0.4,6,9,0.14
P00380,39,4.7,0.5,6,12,0.35
P00381,28,10.1,0.9,7,14,0.38
P00382,41,8.5,0.87,3,12,0.14
P00383,26,4.4,0.65,3,5,0.12
P00384,90,14.7,0.93,2,12,0.3
P00385,24,10.8,0.67,5,12,0.25
P00386,33,12.2,0.42,2,0,0.17
P00387,64,12.7,0.9,3,15,0.27
P00388,12,5.0,0.67,10,7,0.07
P00389,40,5.0,0.9,2,4,0.39
P00390,11,8.4,0.58,10,11,0.18
P00391,38,6.1,0.47,1,14,0.29
P00392,19,13.8,0.39,3,9,0.2
P00393,25,6.2,0.68,10,6,0.24
P00394,8,13.4,0.58,1,10,0.21
P00395,17,10.8,0.39,0,3,0.09
P00396,62,7.3,0.97,7,9,0.14
P00397,39,12.0,0.38,2,0,0.28
P00398,22,11.3,0.49,1,2,0.17
P00399,46,4.6,0.92,1,1,0.21
P00400,21,5.5,0.91,4,3,0.14
P00401,61,14.8,0.89,10,5,0.08
P00402,47,11.1,0.92,3,11,0.23
P00403,14,4.8,0.69,10,10,0.16
P00404,44,7.5,0.89,1,3,0.36
P00405,37,12.9,0.87,8,9,0.39
P00406,32,5.7,0.87,3,10,0.22
P00407,38,2.8,0.66,5,4,0.18
P00408,7,14.6,0.66,6,10,0.22
P00409,29,13.6,0.48,3,8,0.08
P00410,24,6.5,0.92,2,14,0.38
P00411,32,3.1,0.64,8,11,0.38
P00412,13,8.0,0.51,0,1,0.31
P00413,23,11.9,0.46,1,10,0.08
P00414,27,9.8,0.6,6,9,0.21
P00415,22,6.3,0.68,2,14,0.2
P00416,47,3.1,0.91,0,1,0.12
P00417,18,10.1,0.51,0,13,0.2
P00418,9,13.2,0.58,1,8,0.06
P00419,51,10.1,0.88,1,14,0.06
P00420,68,12.5,0.85,5,15,0.14
P00421,33,12.0,0.52,2,10,0.08
P00422,20,2.1,0.43,8,14,0.13
P00423,25,12.4,0.66,2,10,0.36
P00424,9,12.0,0.57,7,7,0.27
P00425,81,4.9,0.95,3,13,0.34
P00426,29,11.0,0.43,4,15,0.08
P00427,29,5.3,0.6,1,6,0.25
P00428,76,14.3,0.91,8,2,0.17
P00429,86,13.6,0.94,5,13,0.39
P00430,13,14.8,0.4,1,6,0.23
P00431,28,6.1,0.54,9,9,0.07
P00432,15,4.8,0.4,2,2,0.36
P00433,55,9.3,0.93,6,14,0.37
P00434,34,13.7,0.65,2,10,0.06
P00435,6,7.0,0.31,6,5,0.21
P00436,35,5.3,0.87,5,11,0.22
P00437,42,12.6,0.9,4,14,0.23
P00438,20,10.6,0.65,0,7,0.31
P00439,11,7.0,0.59,3,8,0.16
P00440,42,11.5,0.85,0,8,0.31
P00441,36,10.9,0.67,4,13,0.22
P00442,83,11.1,0.86,9,12,0.36
P00443,37,5.4,0.31,3,14,0.31
P00444,11,12.7,0.67,7,15,0.06
P00445,61,9.8,0.87,7,7,0.34
P00446,39,12.6,0.88,0,7,0.2
P00447,47,6.9,0.92,4,5,0.12
P00448,11,4.6,0.44,2,11,0.11
P00449,79,6.3,0.89,0,4,0.32
P00450,34,12.1,0.3,3,5,0.19
P00451,77,8.0,0.88,5,10,0.3
P00452,38,9.6,0.68,8,8,0.32
P00453,37,6.9,0.58,7,8,0.26
P00454,79,10.3,0.92,7,10,0.14
P00455,22,8.5,0.86,5,14,0.1
P00456,33,4.6,0.97,1,14,0.12
P00457,42,11.8,0.89,0,8,0.27
P00458,18,4.9,0.57,10,10,0.2
P00459,34,13.8,0.32,7,2,0.13
P00460,26,5.0,0.41,1,5,0.35
P00461,14,10.6,0.64,1,15,0.25
P00462,86,4.6,0.94,2,15,0.11
P00463,20,6.5,0.34,3,2,0.27
P00464,26,5.8,0.32,5,8,0.24
P00465,53,14.1,0.89,3,10,0.07
P00466,67,8.0,0.97,5,3,0.35
P00467,45,2.8,0.92,3,8,0.21
P00468,68,5.2,0.9,1,14,0.1
P00469,14,14.4,0.6,7,10,0.38
P00470,28,13.7,0.52,5,8,0.33
P00471,9,13.4,0.37,8,9,0.4
P00472,20,9.0,0.67,6,0,0.15
P00473,50,4.2,0.93,7,1,0.31
P00474,41,7.2,0.97,6,0,0.16
P00475,23,6.3,0.37,2,5,0.22
P00476,12,11.1,0.69,3,5,0.23
P00477,58,9.4,0.95,7,15,0.23
P00478,58,11.4,0.89,2,12,0.25
P00479,10,14.5,0.63,8,7,0.13
P00480,27,2.4,0.32,6,5,0.33
P00481,27,10.0,0.52,1,6,0.28
P00482,7,8.5,0.39,1,12,0.09
P00483,32,9.5,0.68,2,5,0.38
P00484,22,14.1,0.95,7,8,0.38
P00485,24,14.0,0.89,2,1,0.1
P00486,74,8.4,0.85,10,9,0.34
P00487,11,5.2,0.39,7,10,0.09
P00488,43,5.4,0.93,0,9,0.29
P00489,18,13.6,0.6,4,2,0.33
P00490,23,8.3,0.66,4,6,0.06
P00491,88,11.7,0.95,9,8,0.14
P00492,39,5.3,0.57,1,1,0.14
P00493,38,9.8,0.95,6,5,0.28
P00494,32,10.1,0.52,10,2,0.08
P00495,29,7.1,0.92,7,10,0.34
P00496,10,6.0,0.63,0,12,0.1
P00497,16,11.3,0.44,7,12,0.4
P00498,11,14.6,0.51,10,2,0.27
P00499,15,8.7,0.44,1,3,0.33
P00500,13,3.6,0.49,7,13,0.2
P00501,40,9.8,0.43,7,13,0.11
P00502,37,5.6,0.55,1,5,0.38
P00503,62,10.2,0.92,7,15,0.17
P00504,51,8.6,0.92,2,7,0.26
P00505,42,14.1,0.86,4,12,0.24
P00506,54,10.8,0.97,10,5,0.35
P00507,80,2.3,0.96,0,13,0.33
P00508,24,13.6,0.9,8,4,0.27
P00509,19,11.8,0.69,3,1,0.05
P00510,10,9.8,0.39,7,3,0.22
P00511,30,7.5,0.38,4,0,0.27
P00512,34,12.6,0.37,1,5,0.13
P00513,82,6.4,0.94,0,13,0.35
P00514,76,4.3,0.97,4,5,0.13
P00515,25,14.0,0.35,6,13,0.39
P00516,27,12.4,0.45,5,7,0.18
P00517,38,8.3,0.47,6,3,0.37
P00518,52,13.4,0.89,5,2,0.24
P00519,58,11.1,0.88,9,2,0.28
P00520,10,10.6,0.44,9,1,0.14
P00521,10,8.5,0.45,10,14,0.08
P00522,56,6.6,0.88,1,6,0.33
P00523,5,12.2,0.34,0,10,0.39
P00524,22,12.2,0.48,2,4,0.16
P00525,20,10.3,0.92,1,3,0.06
P00526,36,4.8,0.35,3,1,0.23
P00527,13,8.6,0.39,6,6,0.26
P00528,40,13.8,0.47,2,8,0.25
P00529,16,12.1,0.38,0,2,0.25
P00530,84,14.5,0.91,5,12,0.36
P00531,21,11.6,0.32,0,0,0.12
P00532,55,9.1,0.95,2,14,0.31
P00533,34,6.7,0.54,3,12,0.31
P00534,36,3.0,0.54,5,11,0.29
P00535,55,14.2,0.94,10,4,0.13
P00536,31,9.9,0.34,5,15,0.35
P00537,67,10.4,0.97,4,1,0.29
P00538,39,2.4,0.86,6,15,0.17
P00539,33,2.3,0.41,1,3,0.25
P00540,18,3.7,0.68,6,8,0.22
P00541,38,4.7,0.6,6,11,0.14
P00542,12,5.6,0.31,7,7,0.36
P00543,13,4.9,0.54,3,15,0.31
P00544,33,4.2,0.62,4,2,0.35
P00545,22,2.0,0.5,1,3,0.32
P00546,21,8.5,0.42,9,0,0.3
P00547,25,7.1,0.87,8,6,0.05
P00548,11,13.1,0.57,0,9,0.08
P00549,17,10.4,0.34,1,2,0.39
P00550,40,3.4,0.33,3,0,0.39
P00551,28,2.8,0.66,9,3,0.15
P00552,22,7.4,0.51,1,14,0.12
P00553,83,14.4,0.91,4,1,0.2
P00554,80,11.8,0.85,0,13,0.34
P00555,87,7.9,0.85,1,4,0.23
P00556,9,6.6,0.33,10,9,0.2
P00557,27,9.6,0.59,9,9,0.08
P00558,11,4.5,0.42,3,7,0.06
P00559,32,7.1,0.88,8,1,0.08
P00560,64,13.1,0.93,4,10,0.14
P00561,15,8.6,0.66,0,9,0.29
P00562,24,13.8,0.65,1,9,0.26
P00563,9,8.8,0.33,1,10,0.28
P00564,46,6.2,0.93,8,11,0.31
P00565,46,4.6,0.85,10,5,0.18
P00566,31,2.8,0.65,6,1,0.19
P00567,10,10.8,0.41,2,8,0.33
P00568,73,6.4,0.93,3,12,0.23
P00569,20,6.1,0.64,1,15,0.26
P00570,30,13.9,0.54,6,14,0.08
P00571,74,14.7,0.9,1,3,0.1
P00572,18,14.2,0.36,5,0,0.08
P00573,9,12.7,0.48,10,1,0.33
P00574,61,3.4,0.96,2,4,0.13
P00575,5,7.5,0.63,6,12,0.32
P00576,34,14.8,0.51,3,11,0.35
P00577,18,7.0,0.31,2,7,0.19
P00578,78,5.8,0.92,9,15,0.39
P00579,40,11.0,0.59,3,7,0.11
P00580,34,9.7,0.41,1,5,0.26
P00581,75,8.1,0.94,1,10,0.24
P00582,19,9.7,0.62,2,12,0.15
P00583,27,7.3,0.61,4,9,0.16
P00584,79,12.1,0.88,0,11,0.3
P00585,82,10.6,0.93,10,5,0.29
P00586,30,13.6,0.85,4,8,0.12
P00587,15,11.7,0.5,0,8,0.13
P00588,76,5.8,0.87,6,8,0.26
P00589,89,5.9,0.91,7,5,0.08
P00590,82,5.7,0.97,6,4,0.2
P00591,23,8.4,0.9,9,9,0.35
P00592,37,3.0,0.88,3,4,0.37
P00593,57,11.8,0.85,4,5,0.31
P00594,25,11.7,0.32,8,0,0.2
P00595,71,3.4,0.88,1,12,0.18
P00596,34,12.8,0.87,7,13,0.24
P00597,38,10.0,0.86,0,0,0.32
P00598,74,2.6,0.9,8,11,0.18
P00599,18,9.8,0.56,4,4,0.23
P00600,88,10.2,0.95,3,6,0.06
P00601,87,13.0,0.96,5,13,0.12
P00602,88,3.0,0.9,6,3,0.27
P00603,68,5.4,0.88,0,5,0.27
P00604,40,6.2,0.69,2,11,0.11
P00605,28,8.1,0.89,10,12,0.17
P00606,19,13.9,0.42,5,2,0.18
P00607,35,9.0,0.32,0,4,0.19
P00608,70,14.0,0.89,4,8,0.35
P00609,35,13.2,0.45,1,14,0.07
P00610,85,11.5,0.95,4,10,0.12
P00611,17,8.0,0.4,3,10,0.06
P00612,24,13.7,0.45,4,1,0.3
P00613,58,9.1,0.92,9,1,0.13
P00614,65,7.6,0.95,7,0,0.39
P00615,35,10.3,0.32,1,10,0.27
P00616,78,6.0,0.91,1,1,0.32
P00617,60,5.6,0.95,1,6,0.22
P00618,24,12.9,0.39,9,15,0.17
P00619,89,2.4,0.88,8,7,0.28
P00620,65,13.5,0.86,7,15,0.16
P00621,61,8.7,0.92,5,10,0.1
P00622,27,14.9,0.85,10,15,0.39
P00623,20,6.0,0.65,6,0,0.23
P00624,12,13.1,0.66,7,11,0.27
P00625,28,12.1,0.41,8,12,0.23
P00626,5,4.8,0.4,3,14,0.39
P00627,20,5.1,0.38,6,13,0.36
P00628,80,2.3,0.89,2,7,0.33
P00629,64,13.0,0.86,3,9,0.13
P00630,30,10.5,0.9,10,10,0.11
